work_id,state,district,loksabha_constituency,mp_name,implementing_agency_name,agency_id,work_name,work_description,status,date,amount_inr
WS/KE1/2016/00012,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of tube well near Vivekananda Colony - Package 2,Installation of tube well near Vivekananda Colony - Package 2 under MPLADS,Work in Progress,2016-01-03,442201.33
WS/KE1/2016/00013,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of library-cum-reading room, Vivekananda Colony - Additional Works","Construction of library-cum-reading room, Vivekananda Colony - Additional Works under MPLADS",New Recommendation,2016-02-19,2250511.97
WS/KE1/2016/00014,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of internal road at Zone 10 - Phase 1,Repair of internal road at Zone 10 - Phase 1,Financial Sanction Approved,2016-03-26,871231.43
WS/KE1/2016/00015,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Installation of RO water purification plant, Vidya Enclave - Phase 2","Installation of RO water purification plant, Vidya Enclave - Phase 2",New Recommendation,2016-03-14,321945.19
WS/KE1/2016/00016,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of primary school building, Behind Sports Stadium","Renovation of primary school building, Behind Sports Stadium",Financial Sanction Approved,2016-04-27,889300.56
WS/KE1/2016/00017,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of community toilet block, Behind Sports Stadium - Phase 1","Construction of community toilet block, Behind Sports Stadium - Phase 1",Work in Progress,2016-04-22,1032536.83
WS/KE1/2016/00018,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Desilting and repair of village pond, Zone 10","Desilting and repair of village pond, Zone 10",Work in Progress,2016-05-13,1217976.24
WS/KE1/2016/00019,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of panchayat office building, Zone 10 - Stage II","Renovation of panchayat office building, Zone 10 - Stage II",Financial Sanction Approved,2016-05-10,706681.54
WS/KE1/2016/00020,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of panchayat office building, Beside Sports Stadium","Renovation of panchayat office building, Beside Sports Stadium",Financial Sanction Approved,2016-06-21,408339.21
WS/KE1/2016/00021,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of irrigation channel near Patel Nagar - Phase 2,Repair of irrigation channel near Patel Nagar - Phase 2 under MPLADS,Financial Sanction Approved,2016-06-27,587776.96
WS/KE1/2016/00022,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of irrigation channel near Vivekananda Colony - Phase 2,Repair of irrigation channel near Vivekananda Colony - Phase 2,Financial Sanction Approved,2016-06-17,481438.15
WS/KE1/2016/00023,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Installation of RO water purification plant, Patel Bagh","Installation of RO water purification plant, Patel Bagh",Financial Sanction Approved,2016-07-24,707883.68
WS/KE1/2016/00024,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Installation of RO water purification plant, Beside Sports Stadium - Stage II","Installation of RO water purification plant, Beside Sports Stadium - Stage II under MPLADS",Financial Sanction Approved,2016-08-23,962786.51
WS/KE1/2016/00025,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Desilting and repair of village pond, Patel Nagar - Phase 1","Desilting and repair of village pond, Patel Nagar - Phase 1",Financial Sanction Approved,2016-08-07,522579.72
WS/KE1/2016/00026,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of anganwadi centre at Vivekananda Colony - Phase 2,Construction of anganwadi centre at Vivekananda Colony - Phase 2,Financial Sanction Approved,2016-08-16,486541.39
WS/KE1/2016/00027,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of check dam near Rajiv Chowk - Package 2,Construction of check dam near Rajiv Chowk - Package 2,New Recommendation,2016-09-27,505385.75
WS/KE1/2016/00028,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of primary school building, Patel Nagar - Stage II","Renovation of primary school building, Patel Nagar - Stage II",New Recommendation,2016-09-22,565538.64
WS/KE1/2016/00029,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of Vivekananda Colony community hall - Phase 2,Construction of Vivekananda Colony community hall - Phase 2,Financial Sanction Approved,2016-10-12,851880.51
WS/KE1/2016/00030,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of RCC road from Rajiv Chowk,Construction of RCC road from Rajiv Chowk under MPLADS,New Recommendation,2016-11-02,1004938.58
WS/KE1/2016/00031,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of retaining wall near Ward 3 - Phase 1,Construction of retaining wall near Ward 3 - Phase 1,Financial Sanction Approved,2016-11-10,491715.55
WS/KE1/2016/00032,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Fencing and gate installation, Ward 3","Fencing and gate installation, Ward 3",Financial Sanction Approved,2016-12-27,901742.78
WS/KE1/2016/00033,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of culvert on approach road, Sector 2","Construction of culvert on approach road, Sector 2 under MPLADS",New Recommendation,2016-12-10,595688.65
WS/KE1/2017/00034,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of hand pump at Zone 10 - Phase 2,Installation of hand pump at Zone 10 - Phase 2 under MPLADS,Financial Sanction Approved,2017-01-25,437070.67
WS/KE1/2017/00035,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of crematorium shed at Beside Government Hospital,Construction of crematorium shed at Beside Government Hospital,Financial Sanction Approved,2017-01-23,562148.24
WS/KE1/2017/00036,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Repair of playground and sports facility, Sector 2 - Additional Works","Repair of playground and sports facility, Sector 2 - Additional Works under MPLADS",New Recommendation,2017-01-13,658070.72
WS/KE1/2017/00037,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of crematorium shed at Ward 3 - Stage II,Construction of crematorium shed at Ward 3 - Stage II,Financial Sanction Approved,2017-02-19,1140348.72
WS/KE1/2017/00038,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Fencing and gate installation, Rajiv Chowk - Additional Works","Fencing and gate installation, Rajiv Chowk - Additional Works",New Recommendation,2017-02-17,408390.4
WS/KE1/2017/00039,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of ambulance shed at Beside Sports Stadium,Construction of ambulance shed at Beside Sports Stadium under MPLADS,Financial Sanction Approved,2017-03-27,1100126.42
WS/KE1/2017/00040,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of crematorium shed at Zone 10,Construction of crematorium shed at Zone 10,Work in Progress,2017-03-11,1108911.0
WS/KE1/2017/00041,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of irrigation channel near Beside Sports Stadium - Phase 2,Repair of irrigation channel near Beside Sports Stadium - Phase 2,Financial Sanction Approved,2017-04-09,1184789.57
WS/KE1/2017/00042,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of panchayat office building, Vidya Enclave - Package 2","Renovation of panchayat office building, Vidya Enclave - Package 2 under MPLADS",Financial Sanction Approved,2017-05-26,874610.72
WS/KE1/2017/00043,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of internal road at Patel Nagar,Repair of internal road at Patel Nagar,Work in Progress,2017-06-10,608951.19
WS/KE1/2017/00044,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of anganwadi centre at Vidya Enclave - Additional Works,Construction of anganwadi centre at Vidya Enclave - Additional Works under MPLADS,Financial Sanction Approved,2017-06-18,1042117.05
WS/KE1/2017/00045,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of drinking water tank in Vidya Enclave,Construction of drinking water tank in Vidya Enclave,Financial Sanction Approved,2017-06-17,676562.62
WS/KE1/2017/00046,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of culvert on approach road, Ward 3 - Phase 2","Construction of culvert on approach road, Ward 3 - Phase 2 under MPLADS",Financial Sanction Approved,2017-07-09,763206.39
WS/KE1/2017/00047,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Desilting and repair of village pond, Behind Sports Stadium - Stage II","Desilting and repair of village pond, Behind Sports Stadium - Stage II",Financial Sanction Approved,2017-07-05,651478.03
WS/KE1/2017/00048,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of children's park at Beside Government Hospital - Phase 2,Construction of children's park at Beside Government Hospital - Phase 2,Financial Sanction Approved,2017-08-08,614047.83
WS/KE1/2017/00049,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of culvert on approach road, Vivekananda Colony","Construction of culvert on approach road, Vivekananda Colony under MPLADS",Financial Sanction Approved,2017-08-07,440243.78
WS/KE1/2017/00050,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of Vidya Enclave community hall - Phase 1,Construction of Vidya Enclave community hall - Phase 1,Financial Sanction Approved,2017-09-25,387988.75
WS/KE1/2017/00051,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of compound wall for panchayat land, Patel Bagh - Stage II","Construction of compound wall for panchayat land, Patel Bagh - Stage II under MPLADS",Work in Progress,2017-09-12,458807.14
WS/KE1/2017/00052,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of culvert on approach road, Behind Sports Stadium - Additional Works","Construction of culvert on approach road, Behind Sports Stadium - Additional Works",Financial Sanction Approved,2017-09-19,370550.43
WS/KE1/2017/00053,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of children's park at Beside Government Hospital - Package 2,Construction of children's park at Beside Government Hospital - Package 2 under MPLADS,New Recommendation,2017-10-15,444957.19
WS/KE1/2017/00054,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of anganwadi centre at Sector 2 - Package 2,Construction of anganwadi centre at Sector 2 - Package 2 under MPLADS,Financial Sanction Approved,2017-10-07,324707.04
WS/KE1/2017/00055,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of RCC road from Patel Nagar,Construction of RCC road from Patel Nagar,Financial Sanction Approved,2017-11-06,558970.01
WS/KE1/2017/00056,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of solar street lights in Behind Sports Stadium - Additional Works,Installation of solar street lights in Behind Sports Stadium - Additional Works under MPLADS,Financial Sanction Approved,2017-11-05,649318.86
WS/KE1/2017/00057,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of check dam near Zone 10 - Phase 1,Construction of check dam near Zone 10 - Phase 1,Financial Sanction Approved,2017-11-04,384027.57
WS/KE1/2017/00058,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Desilting and repair of village pond, Rajiv Chowk - Package 2","Desilting and repair of village pond, Rajiv Chowk - Package 2 under MPLADS",New Recommendation,2017-12-06,1837952.85
WS/KE1/2018/00059,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of solar street lights in Patel Nagar,Installation of solar street lights in Patel Nagar under MPLADS,Work in Progress,2018-01-13,852881.25
WS/KE1/2018/00060,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of solar street lights in Zone 10,Installation of solar street lights in Zone 10 under MPLADS,New Recommendation,2018-01-04,867758.5
WS/KE1/2018/00061,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of compound wall for panchayat land, Beside Government Hospital - Stage II","Construction of compound wall for panchayat land, Beside Government Hospital - Stage II",Financial Sanction Approved,2018-02-17,1133740.2
WS/KE1/2018/00062,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of bus shelter at Sector 2 - Stage II,Construction of bus shelter at Sector 2 - Stage II under MPLADS,Work in Progress,2018-02-14,670574.0
WS/KE1/2018/00063,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of veterinary dispensary, Vidya Enclave - Phase 1","Renovation of veterinary dispensary, Vidya Enclave - Phase 1",Financial Sanction Approved,2018-03-14,1739915.41
WS/KE1/2018/00064,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of primary school building, Behind Sports Stadium","Renovation of primary school building, Behind Sports Stadium",Financial Sanction Approved,2018-04-02,620689.79
WS/KE1/2018/00065,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of old age home, Patel Nagar","Renovation of old age home, Patel Nagar",Financial Sanction Approved,2018-04-21,518810.03
WS/KE1/2018/00066,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of community toilet block, Vivekananda Colony - Phase 2","Construction of community toilet block, Vivekananda Colony - Phase 2 under MPLADS",Work in Progress,2018-04-06,579126.25
WS/KE1/2018/00067,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Desilting and repair of village pond, Sector 2","Desilting and repair of village pond, Sector 2",Financial Sanction Approved,2018-05-23,383244.63
WS/KE1/2018/00068,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Fencing and gate installation, Ward 3 - Stage II","Fencing and gate installation, Ward 3 - Stage II under MPLADS",Financial Sanction Approved,2018-05-25,501486.61
WS/KE1/2018/00069,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of ambulance shed at Zone 10,Construction of ambulance shed at Zone 10 under MPLADS,Financial Sanction Approved,2018-05-27,505386.89
WS/KE1/2018/00070,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Desilting and repair of village pond, Rajiv Chowk - Additional Works","Desilting and repair of village pond, Rajiv Chowk - Additional Works under MPLADS",Financial Sanction Approved,2018-06-20,475361.15
WS/KE1/2018/00071,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of retaining wall near Zone 10 - Stage II,Construction of retaining wall near Zone 10 - Stage II,Work in Progress,2018-06-06,538941.87
WS/KE1/2018/00072,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of drinking water tank in Patel Nagar - Phase 1,Construction of drinking water tank in Patel Nagar - Phase 1 under MPLADS,Financial Sanction Approved,2018-06-05,270773.77
WS/KE1/2018/00073,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of culvert on approach road, Vidya Enclave - Package 2","Construction of culvert on approach road, Vidya Enclave - Package 2",Financial Sanction Approved,2018-07-24,673996.77
WS/KE1/2018/00074,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Electrification of internal streets in Sector 2,Electrification of internal streets in Sector 2 under MPLADS,Work in Progress,2018-07-25,1244248.96
WS/KE1/2018/00075,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Laying of paver blocks on internal road, Patel Nagar","Laying of paver blocks on internal road, Patel Nagar",New Recommendation,2018-08-11,642100.03
WS/KE1/2018/00076,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of vendor market shed, Vidya Enclave - Additional Works","Construction of vendor market shed, Vidya Enclave - Additional Works under MPLADS",Financial Sanction Approved,2018-08-17,792304.02
WS/KE1/2018/00077,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of children's park at Sector 2 - Stage II,Construction of children's park at Sector 2 - Stage II under MPLADS,Financial Sanction Approved,2018-09-07,256379.32
WS/KE1/2018/00078,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Desilting and repair of village pond, Behind Sports Stadium - Phase 1","Desilting and repair of village pond, Behind Sports Stadium - Phase 1",Financial Sanction Approved,2018-09-22,720561.46
WS/KE1/2018/00079,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of internal road at Ward 3 - Phase 2,Repair of internal road at Ward 3 - Phase 2,Work in Progress,2018-09-02,696347.33
WS/KE1/2018/00080,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of primary school building, Patel Nagar - Additional Works","Renovation of primary school building, Patel Nagar - Additional Works",Financial Sanction Approved,2018-10-03,1046962.95
WS/KE1/2018/00081,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of hand pump at Vivekananda Colony - Package 2,Installation of hand pump at Vivekananda Colony - Package 2 under MPLADS,Financial Sanction Approved,2018-10-05,854174.54
WS/KE1/2018/00082,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Widening of approach road to Vidya Enclave - Package 2,Widening of approach road to Vidya Enclave - Package 2,Work in Progress,2018-11-14,2157173.43
WS/KE1/2018/00083,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of check dam near Patel Bagh - Package 2,Construction of check dam near Patel Bagh - Package 2,Financial Sanction Approved,2018-12-07,417228.03
WS/KE1/2018/00084,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of ambulance shed at Beside Government Hospital - Package 2,Construction of ambulance shed at Beside Government Hospital - Package 2,Work in Progress,2018-12-05,499506.68
WS/KE1/2018/00085,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of open-air gymnasium at Beside Government Hospital - Stage II,Construction of open-air gymnasium at Beside Government Hospital - Stage II under MPLADS,Financial Sanction Approved,2018-12-17,374251.93
WS/KE1/2019/00086,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of veterinary dispensary, Sector 2 - Phase 2","Renovation of veterinary dispensary, Sector 2 - Phase 2 under MPLADS",Work in Progress,2019-01-27,500644.67
WS/KE1/2019/00088,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Construction of bus shelter at Vidya Enclave - Phase 1,Construction of bus shelter at Vidya Enclave - Phase 1 under MPLADS,Financial Sanction Approved,2019-01-02,597454.53
WS/KE1/2019/00089,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of irrigation channel near Beside Sports Stadium,Repair of irrigation channel near Beside Sports Stadium,New Recommendation,2019-02-15,413097.49
WS/KE1/2019/00090,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Repair and upgradation of health sub-centre, Rajiv Chowk - Phase 2","Repair and upgradation of health sub-centre, Rajiv Chowk - Phase 2 under MPLADS",New Recommendation,2019-02-22,608532.09
WS/KE1/2019/00091,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Construction of culvert on approach road, Behind Sports Stadium","Construction of culvert on approach road, Behind Sports Stadium",Financial Sanction Approved,2019-03-18,211605.44
WS/KE1/2019/00092,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Repair of internal road at Behind Sports Stadium,Repair of internal road at Behind Sports Stadium,New Recommendation,2019-03-06,450888.32
WS/KE1/2019/00093,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Renovation of primary school building, Patel Nagar","Renovation of primary school building, Patel Nagar under MPLADS",New Recommendation,2019-03-27,499152.8
WS/KE1/2019/00094,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,"Repair and upgradation of health sub-centre, Patel Nagar","Repair and upgradation of health sub-centre, Patel Nagar under MPLADS",Financial Sanction Approved,2019-04-11,878332.77
WS/KE1/2019/00095,Kerala,Malappuram,Malappuram,P.K .Kunhalikutty,Malappuram Rural Development Agency,agy_0022,Installation of hand pump at Beside Sports Stadium - Package 2,Installation of hand pump at Beside Sports Stadium - Package 2,Financial Sanction Approved,2019-05-16,1469771.25
WS/KE2/2015/00096,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Construction of open-air gymnasium at Adjacent to Veterinary Hospital - Phase 2,Construction of open-air gymnasium at Adjacent to Veterinary Hospital - Phase 2,Work in Progress,2015-06-27,324179.38
WS/KE2/2015/00097,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Construction of open-air gymnasium at Sector 7 - Stage II,Construction of open-air gymnasium at Sector 7 - Stage II,Financial Sanction Approved,2015-06-16,610644.07
WS/KE2/2015/00098,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Installation of solar street lights in Ward 19,Installation of solar street lights in Ward 19,Financial Sanction Approved,2015-06-16,268642.21
WS/KE2/2015/00099,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,"Repair of playground and sports facility, Beside ITI College","Repair of playground and sports facility, Beside ITI College",Financial Sanction Approved,2015-07-16,455762.81
WS/KE2/2015/00100,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Construction of anganwadi centre at Beside Panchayat Office - Phase 1,Construction of anganwadi centre at Beside Panchayat Office - Phase 1,New Recommendation,2015-07-18,415889.97
WS/KE2/2015/00101,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Repair of irrigation channel near Sector 7,Repair of irrigation channel near Sector 7 under MPLADS,New Recommendation,2015-07-21,671863.28
WS/KE2/2015/00102,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Construction of check dam near Rajiv Chowk,Construction of check dam near Rajiv Chowk,New Recommendation,2015-08-21,612481.35
WS/KE2/2015/00103,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Electrification of internal streets in Rajiv Chowk - Additional Works,Electrification of internal streets in Rajiv Chowk - Additional Works,New Recommendation,2015-08-09,942462.04
WS/KE2/2015/00104,Kerala,Thiruvananthapuram,Attingal,Dr. Anirudhan Sampath,Thiruvananthapuram Nagar Panchayat,agy_0027,Repair of irrigation channel near Ward 19,Repair of irrigation channel near Ward 19 under MPLADS,Work in Progress,2015-10-27,1059732.37
