state,district,loksabha_constituency,house_name,mp_type,mp_name,implementing_agency_name,work_id,work_name,work_description,work_category,sanction_date,sanction_amount,units,status,image_status
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT261/2023/01028,Community Public Sanitation Block with Bio-Digester at Canal Bridge,Community Public Sanitation Block with Bio-Digester at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,08-12-2023,365125,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,JAGATSINGHPUR PANCHAYAT SAMITI,WS/FAT209/2023/01029,Widening & Culvert Reconstruction at Outer Ring Road Junction,Widening & Culvert Reconstruction at Outer Ring Road Junction. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,09-12-2023,399466,sanction_amount in Rupees,Administrative Sanction Accorded,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,jagatsinghpur panchayat samiti,WS/FAT803/2023/01030,Public Library and Reading Room Building at Govt School Campus,Public Library and Reading Room Building at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 4 execution.,Public Infrastructure & Community Halls,23-12-2023,748658,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,JAGATSINGHPUR PANCHAYAT SAMITI,WS/FAT441/2024/01031,Construction of CC Road from Outer Ring Road to Ward 12,Construction of CC Road from Outer Ring Road to Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,09-01-2024,991926,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,JAGATSINGHPUR PANCHAYAT SAMITI,WS/FAT177/2024/01032,Desilting and Renovation of Village Water Pond at Primary Health Centre,Desilting and Renovation of Village Water Pond at Primary Health Centre. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,18-01-2024,781340,sanction_amount in Rupees,Administrative Sanction Accorded,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Jagatsinghpur P.S.,WS/FAT142/2024/01033,Widening & Culvert Reconstruction at Govt School Campus Junction,Widening & Culvert Reconstruction at Govt School Campus Junction. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,05-01-2024,614345,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT508/2022/01034,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Bus Stand,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Bus Stand. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,01-01-2022,1054260,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT963/2022/01035,Widening & Culvert Reconstruction at Railway Station Road Junction,Widening & Culvert Reconstruction at Railway Station Road Junction. Approved under MPLADS scheme guidelines. Phase 2 execution.,Roads & Bridges,17-01-2022,1290050,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EXECUTIVE ENGINEER PWD LUDHIANA,WS/FAT544/2022/01036,Erection of Open Gymnasium and Youth Sports Complex at Govt School Campus,Erection of Open Gymnasium and Youth Sports Complex at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,02-01-2022,3244146,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT101/2022/01037,Procurement of Advance Life Support Ambulance for Sub-district Hospital Gram Panchayat Office,Procurement of Advance Life Support Ambulance for Sub-district Hospital Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,02-03-2022,2278445,sanction_amount in Rupees,Administrative Sanction Accorded,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT619/2022/01038,Public Library and Reading Room Building at Outer Ring Road,Public Library and Reading Room Building at Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,24-07-2022,2139840,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT278/2022/01039,Overhead Drinking Water Reservoir & Distribution Line at Ward 12,Overhead Drinking Water Reservoir & Distribution Line at Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,22-08-2022,681031,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT693/2022/01040,Procurement of Advance Life Support Ambulance for Sub-district Hospital Sector 4,Procurement of Advance Life Support Ambulance for Sub-district Hospital Sector 4. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,07-08-2022,632675,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive  Engineer  PWD  Ludhiana,WS/FAT912/2022/01041,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Shiv Mandir Chowk. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,07-08-2022,753081,sanction_amount in Rupees,Administrative Sanction Accorded,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT250/2022/01042,Construction of Multi-purpose Community Kalyan Mandap at Gram Panchayat Office,Construction of Multi-purpose Community Kalyan Mandap at Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 1 execution.,Public Infrastructure & Community Halls,08-09-2022,956820,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT689/2022/01043,Desilting and Renovation of Village Water Pond at Govt School Campus,Desilting and Renovation of Village Water Pond at Govt School Campus. Approved under MPLADS scheme guidelines. Phase 2 execution.,Water Supply & Sanitation,14-09-2022,1108860,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT868/2022/01044,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Gram Panchayat Office,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,21-09-2022,639989,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT643/2022/01045,Emergency Interlock Tile Pavement near Main Bazaar,Emergency Interlock Tile Pavement near Main Bazaar. Approved under MPLADS scheme guidelines. Phase 1 execution.,Roads & Bridges,26-10-2022,395520,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT556/2022/01046,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram,Procurement of Advance Life Support Ambulance for Sub-district Hospital Kalyan Puram. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,27-10-2022,549347,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT596/2022/01047,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Gram Panchayat Office,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 3 execution.,Health & Education,25-10-2022,471003,sanction_amount in Rupees,Administrative Sanction Accorded,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,executive engineer pwd ludhiana,WS/FAT443/2022/01048,High-Mast LED Street Lighting System across 8 junctions in Main Bazaar,High-Mast LED Street Lighting System across 8 junctions in Main Bazaar. Approved under MPLADS scheme guidelines. Phase 4 execution.,Public Infrastructure & Community Halls,10-10-2022,444770,sanction_amount in Rupees,Work Completed,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT438/2022/01049,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge,Procurement of Advance Life Support Ambulance for Sub-district Hospital Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,03-12-2022,709308,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT698/2022/01050,Addition of Two Classrooms and Laboratory Block at Govt High School Gram Panchayat Office,Addition of Two Classrooms and Laboratory Block at Govt High School Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,13-12-2022,996796,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT955/2023/01051,Addition of Two Classrooms and Laboratory Block at Govt High School Railway Station Road,Addition of Two Classrooms and Laboratory Block at Govt High School Railway Station Road. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,13-01-2023,935033,sanction_amount in Rupees,Work Completed,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT784/2023/01052,Addition of Two Classrooms and Laboratory Block at Govt High School Bus Stand,Addition of Two Classrooms and Laboratory Block at Govt High School Bus Stand. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,01-01-2023,794612,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT706/2023/01053,Desilting and Renovation of Village Water Pond at Canal Bridge,Desilting and Renovation of Village Water Pond at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 3 execution.,Water Supply & Sanitation,01-01-2023,820030,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EXECUTIVE ENGINEER PWD LUDHIANA,WS/FAT488/2023/01054,Bituminous Road Overhaul between Village Canal Bridge and Main Highway,Bituminous Road Overhaul between Village Canal Bridge and Main Highway. Approved under MPLADS scheme guidelines. Phase 4 execution.,Roads & Bridges,06-01-2023,536021,sanction_amount in Rupees,Work Completed,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT867/2023/01055,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Ward 12,Installation of Medical Oxygen Supply & Diagnostic Unit at PHC Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,03-02-2023,977573,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EXECUTIVE ENGINEER PWD LUDHIANA,WS/FAT131/2023/01056,Erection of Open Gymnasium and Youth Sports Complex at Outer Ring Road,Erection of Open Gymnasium and Youth Sports Complex at Outer Ring Road. Approved under MPLADS scheme guidelines. Phase 2 execution.,Public Infrastructure & Community Halls,21-02-2023,949431,sanction_amount in Rupees,Financial Sanction Approved,No
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT677/2023/01057,Emergency Interlock Tile Pavement near Gram Panchayat Office,Emergency Interlock Tile Pavement near Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,16-02-2023,386596,sanction_amount in Rupees,Financial Sanction Approved,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EXECUTIVE ENGINEER PWD LUDHIANA,WS/FAT419/2023/01058,Installation of Solar Powered Submersible Tube Wells at Canal Bridge,Installation of Solar Powered Submersible Tube Wells at Canal Bridge. Approved under MPLADS scheme guidelines. Phase 1 execution.,Water Supply & Sanitation,19-03-2023,762871,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,Executive Engineer PWD Ludhiana,WS/FAT408/2023/01059,Procurement of Advance Life Support Ambulance for Sub-district Hospital Gram Panchayat Office,Procurement of Advance Life Support Ambulance for Sub-district Hospital Gram Panchayat Office. Approved under MPLADS scheme guidelines. Phase 2 execution.,Health & Education,04-03-2023,904168,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT618/2023/01060,Widening & Culvert Reconstruction at Primary Health Centre Junction,Widening & Culvert Reconstruction at Primary Health Centre Junction. Approved under MPLADS scheme guidelines. Phase 3 execution.,Roads & Bridges,22-03-2023,1116629,sanction_amount in Rupees,Administrative Sanction Accorded,Yes
Punjab,Ludhiana,Fatehgarh Sahib,17th Lok Sabha,Lok Sabha MP,Harinder Singh Khalsa,EE PWD Ludhiana,WS/FAT256/2023/01061,Addition of Two Classrooms and Laboratory Block at Govt High School Ward 12,Addition of Two Classrooms and Laboratory Block at Govt High School Ward 12. Approved under MPLADS scheme guidelines. Phase 1 execution.,Health & Education,27-04-2023,422929,sanction_amount in Rupees,Work Completed,No
