mp_name,constituency,lok_sabha_term,entitlement_cr,fund_received_cr,amount_available_cr,works_recommended_cost_cr,works_sanctioned_cost_cr,actual_expenditure_cr,utilization_pct,unspent_balance_cr
Sushil Kumar Singh,Aurangabad,17th,17.0,5.0,5.3066,5.3,5.2827,4.3108,86.216,0.9958
Rajiv Pratap Rudy,Saran,17th,34.5,5.0,5.3092,4.8136,4.8136,2.431,48.12,2.8782
Nityanand Rai,Ujjarpur,17th,17.0,7.0,9.108,15.0099,9.2585,6.71,95.857143,2.398
Sanjay Jaiswal,Paschim Champaran,17th,17.0,5.0,5.2241,6.2,5.3021,4.8947,96.894,0.3294
Dulal Chandra Goswami,Katihar,17th,17.0,12.0,12.2851,22.0391,12.8006,10.3942,86.618333,1.8909
Chhedi Paswan,Sasaram(Sc),17th,17.0,12.0,13.6504,14.8776,13.4934,12.8725,106.229167,0.7779
Pradeep Kumar Singh,Araria,17th,17.0,7.0,9.0098,15.7941,15.5171,8.9798,128.282857,0.03
Sunil Kumar,Valmiki Nagar,17th,12.0,4.5,7.6708,8.5,8.0176,6.6069,145.931111,1.0639
Ram Kripal Yadav,Pataliputra,17th,17.0,5.0,5.1963,16.7877,5.1768,2.2122,44.244,2.9841
Mehboob Ali Kaiser,Khagaria,17th,17.0,12.0,12.6907,7.556,11.934,11.934,99.45,0.7567
Chandeshwar Prasad,Jahanabad,17th,17.0,7.0,7.3311,6.8701,6.6638,6.4941,90.772857,0.837
Dileshwar Kamait,Supaul,17th,17.0,12.0,15.5585,25.3943,18.8021,15.4177,127.230833,0.1408
Rajiv Ranjan (Lalan) Singh,Munger,17th,17.0,7.0,7.2086,18.2802,6.3206,4.9269,68.384286,2.2817
Pashupati Kumar Paras,Hajipur(Sc),17th,17.0,9.5,11.0924,14.5,13.2015,9.2884,97.12,1.804
Kavita Singh,Siwan,17th,17.0,7.0,7.2904,17.1,12.5898,6.824,95.485714,0.4664
Veena Devi,Vaishali,17th,17.0,5.0,5.2009,8.61,5.7884,5.11,100.2,0.0909
Mohammad Jawed,Kishanganj,17th,19.5,9.5,9.7493,21.0202,11.6635,8.257,84.915789,1.4923
Vijay Kumar,Gaya (Sc),17th,17.0,9.5,9.7882,9.5,9.3915,8.0939,83.198947,1.6943
Chandan Singh,Nawada,17th,17.0,5.0,5.1976,4.4848,4.3834,2.9628,57.256,2.2348
Sunil Kumar Pintu,Sitamarhi,17th,17.0,7.0,7.1757,7.8652,7.5163,6.9107,98.724286,0.265
Radha Mohan Singh,Purvi Champaran,17th,17.0,7.0,10.0541,11.0654,9.6699,7.163,102.328571,2.8911
Alok Kumar Suman,Gopalganj (Sc),17th,17.0,9.5,11.2047,13.9864,10.2506,9.4593,97.571579,1.7454
Janardan Singh Sigriwal,Maharajganj,17th,17.0,5.0,5.2069,7.501,4.7771,5.1892,101.784,0.0177
Gopal Jee Thakur,Darbhanga,17th,17.0,5.0,5.3635,6.2999,6.2999,3.6446,70.892,1.7189
Rama Devi,Sheohar,17th,17.0,9.5,9.692,9.1302,9.121,8.7119,91.704211,0.9801
Kirron Kher,Chandigarh,17th,17.0,7.0,11.7007,25.2589,15.7859,11.5348,163.354286,0.1659
Jyotsna Charandas Mahant,Korba,17th,17.0,12.0,12.5897,17.8266,12.9997,11.8159,96.465833,0.7738
Mohan Mandavi,Kanker(St),17th,17.0,9.5,9.5453,9.2612,9.1551,9.0373,93.129474,0.508
Santosh Pandey,Rajnandgaon,17th,17.0,9.5,11.2534,11.7832,10.2304,10.4204,107.688421,0.833
Sunil Kumar Soni,Raipur,17th,17.0,7.0,8.0214,11.686,6.9775,5.4322,75.602857,2.5892
Gomati Sai,Raigarh(St),17th,17.0,12.0,12.9598,14.79,12.1949,11.6778,95.315,1.282
Guharam Ajgalley,Janjgir Champa(Sc),17th,17.0,12.0,13.2143,12.8874,12.5668,11.0942,90.451667,2.1201
Renuka Singh Saruta,Sarguja(St),17th,17.0,9.5,9.6483,12.6328,9.1616,8.2221,85.074737,1.4262
Deepak Baij,Bastar(St),17th,17.0,9.5,12.2928,20.4367,18.2195,11.9081,123.874737,0.3847
Chunni Lal Sahu,Mahasamund,17th,17.0,12.0,13.5768,14.5109,12.6549,11.6097,94.7475,1.9671
Vijay Baghel,Durg,17th,17.0,9.5,10.4402,10.3215,10.1955,9.795,101.105263,0.6452
Arun Sao,Bilaspur,17th,17.0,9.5,11.3906,11.6498,10.6017,8.9331,92.032632,2.4575
Kalaben Mohanbhai Delkar &,Dadra Nagar Haveli (St),17th,12.0,2.0,2.9472,2.6425,0.1702,0.0216,1.08,2.9256
Mohanbhai Sanjibhai Delkar-Ex &,Dadra Nagar Haveli (St),17th,10.0,2.5,2.6117,3.9074,1.7807,2.6117,104.356,0.0
Lalubhai Babubhai Patel &,Daman Diu,17th,17.0,7.0,7.2888,24.688,7.1414,5.0343,71.918571,2.2545
Parvesh Sahib Singh,West Delhi,17th,17.0,5.0,5.2898,21.5386,16.8675,4.6039,90.078,0.6859
Gautam Gambhir,East Delhi,17th,17.0,7.0,9.2534,22.1254,17.615,9.0071,126.672857,0.2463
Meenakashi Lekhi,New Delhi,17th,17.0,7.0,7.2775,26.3922,16.9197,7.2733,101.904286,0.0042
Harsh Vardhan,Chandini Chowk,17th,22.0,7.5,7.9412,23.5147,17.9877,6.6306,86.408,1.3106
Ramesh Bidhuri,South Delhi,17th,17.0,7.0,7.4394,18.8718,14.2426,5.8902,82.145714,1.5492
Raj Hans Hans,North West Delhi(Sc),17th,17.0,5.0,5.3127,20.4013,12.4454,5.1114,100.228,0.2013
Manoj Kumar Tiwari,North East Delhi,17th,17.0,7.0,8.757,22.0511,9.6396,6.0186,83.98,2.7384
Francisco Cosme Sardinha,South Goa,17th,17.0,7.0,7.5241,14.8718,10.9479,7.2708,101.868571,0.2533
Shripad Yesso Naik,North Goa,17th,17.0,5.0,5.332,18.4715,8.0333,4.3873,85.746,0.9447
Devusinh Jesingbhai Chauhan,Kheda,17th,17.0,7.0,9.2657,10.3435,6.9275,6.9157,96.795714,2.35
Gitaben Vajesingbhai Rathva,Chhota Udaipur(St),17th,17.0,9.5,9.769,17.7199,12.215,9.7321,100.443158,0.0369
Shardaben Anilbhai Patel,Mahesana,17th,17.0,7.0,7.372,15.7012,11.6652,8.3619,117.455714,-0.9899
Naranbhai Bhikhabhai Kachhadiya,Amreli,17th,17.0,9.5,11.1691,33.358,13.4985,10.9232,112.981053,0.2459
Parbatbhai Savabhai Patel,Banaskantha,17th,17.0,9.5,9.8136,15.111,10.4983,8.6939,89.514737,1.1197
Kirit Premjibhai Solanki,Ahmedabad West(Sc),17th,17.0,9.5,9.5891,12.1863,11.3867,9.5794,98.835789,0.0097
Prabhubhai Nagarbhai Vasava,Bardoli(St),17th,17.0,7.0,9.68,12.3433,8.3439,7.8185,109.692857,1.8615
Vinod Chavda,Kachchh(Sc),17th,17.0,9.5,11.9766,19.4676,15.7509,9.6179,99.241053,2.3587
Mitesh Rameshbhai Bakabhai Patel,Anand,17th,17.0,9.5,11.1329,17.5274,12.8222,9.2323,95.708421,1.9006
Amit Anil Chandra Shah,Gandhinagar,17th,17.0,9.5,9.6889,7.0066,6.9957,6.144,62.673684,3.5449
Jaswantsinh Sumanbhai Bhabhor,Dahod(St),17th,17.0,7.0,7.0662,6.7803,6.7803,6.6926,93.608571,0.3736
Rajeshbhai Naranbhai Chudasama,Junagadh,17th,17.0,7.0,11.5876,14.7227,12.1448,9.9339,139.912857,1.6537
C.R. Patil,Navsari,17th,17.0,9.5,14.8678,14.7435,14.7393,14.4224,149.867368,0.4454
K.C. Patel,Valsad(St),17th,17.0,7.0,7.9963,7.6119,7.3878,7.1136,99.622857,0.8827
Bharatsinhji Shankarji Dabhi,Patan,17th,17.0,9.5,9.7582,13.5332,8.9767,7.7476,79.553684,2.0106
Mohanbhai Kalyanji Kundariya,Rajkot,17th,17.0,5.0,9.4141,12.8738,9.4295,8.5213,169.426,0.8928
Ranjanben Dhananjay Bhatt,Vadodara,17th,17.0,9.5,14.618,13.3697,12.9175,12.6238,130.882105,1.9942
Mansukhbhai Dhanjibhai Vasava,Bharuch,17th,17.0,9.5,10.1999,16.0062,10.8665,9.6265,99.331579,0.5734
Darshana Vikram Jardosh,Surat,17th,17.0,9.5,9.8057,10.5521,9.4148,9.2454,95.32,0.5603
Poonamben Hematbhai Maadam,Jamnagar,17th,17.0,9.5,9.8131,11.2592,9.3252,7.622,78.231579,2.1911
Mahendrabhai Kalubhai Munjpara,Surendranagar,17th,17.0,7.0,7.4192,7.4661,6.8812,6.8081,95.258571,0.6111
Hasmukh Bhai Soma Bhai Patel,Ahmedabad East,17th,17.0,9.5,9.7264,15.3581,10.4944,8.8347,90.996842,0.8917
Bharatiben Dhirubhai Shyal,Bhavnagar,17th,17.0,7.0,9.955,18.2828,11.8159,9.7617,137.452857,0.1933
Dipsinh Shankarsinh Rathod,Sabarkantha,17th,17.0,9.5,9.6907,12.217,11.2814,9.0034,92.772632,0.6873
Rameshbhai Lavjibhai Dhaduk,Porbandar,17th,17.0,9.5,12.9787,14.4591,13.3566,12.8236,132.985263,0.1551
Ratansinh Magansinh Rathod,Panchmahal,17th,17.0,7.0,7.2249,11.3559,6.781,6.47,90.428571,0.7549
Krishan Pal Gurjar,Faridabad,17th,17.0,5.0,5.862,5.7558,5.7558,2.9295,56.59,2.9325
Sunita Duggal,Sirsa(Sc),17th,17.0,9.5,9.7022,14.6865,9.5745,6.8655,71.742105,2.8367
Arvind Kumar Sharma,Rohtak,17th,17.0,5.0,5.2056,12.7735,4.9952,2.5234,48.468,2.6822
Ramesh Chander Kaushik,Sonepat,17th,17.0,9.5,10.106,10.6523,9.0478,7.1414,73.172632,2.9646
Dharambir Singh,Bhiwani Mahendragarh,17th,17.0,12.0,13.5875,14.6672,13.347,11.9869,97.890833,1.6006
Brijendra Singh,Hisar,17th,17.0,7.0,7.2327,8.9236,7.7177,4.9733,69.047143,2.2594
Nayab Singh,Kurukshetra,17th,17.0,9.5,10.2373,13.8852,9.8983,7.3015,74.857895,2.9358
Rao Inderjit Singh,Gurgaon,17th,17.0,7.0,7.5116,7.5446,6.4711,5.6823,79.175714,1.8293
Rattan Lal Kataria,Ambala (Sc),17th,17.0,7.0,7.2146,12.24,5.1036,2.7097,36.71,4.5049
Sanjay Bhatia,Karnal,17th,22.0,10.0,11.51,23.249,11.1529,9.3529,91.529,2.1571
Kishan Kapoor,Kangra,17th,17.0,7.0,9.6263,8.6441,8.6441,6.8808,96.297143,2.7455
Pratibha Singh,Mandi,17th,12.0,4.5,5.6005,5.2075,5.1718,3.1573,68.162222,2.4432
Suresh Kumar Kashyap,Shimla (Sc),17th,17.0,9.5,12.9989,12.8084,12.8084,11.88,123.052632,1.1189
Ram Swaroop Sharma-Ex,Mandi,17th,10.0,2.5,5.3501,5.878,4.7531,3.0258,119.032,2.3243
Anurag Singh Thakur,Hamirpur,17th,17.0,7.0,10.0947,9.8791,9.8791,7.7685,109.55,2.3262
Mohammad Akbar Lone,Baramullah,17th,17.0,9.5,9.53,12.7299,12.7299,8.0757,83.007368,1.4543
Jitendra Singh,Udhampur,17th,17.0,9.5,9.6823,10.679,10.679,7.1801,73.58,2.5022
Hasnain Masoodi,Anantnag,17th,17.0,7.0,8.4602,8.4011,8.4011,5.7807,81.867143,2.6795
Jugal Kishore Sharma,Jammu,17th,17.0,9.5,9.6246,13.8975,12.0086,6.8508,70.113684,2.7738
Farooq Abdullah,Srinagar,17th,17.0,9.5,10.7805,12.2433,10.4766,7.8246,80.364211,2.9559
Nishikant Dubey,Godda,17th,17.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5
Chandra Prakash Choudhary,Giridih,17th,17.0,7.0,7.1089,10.0382,6.7826,6.2421,88.458571,0.8668
Sudarshan Bhagat,Lohardaga(St),17th,17.0,12.0,12.1354,12.08,12.08,11.9673,97.7275,0.1681
Vishnu Dayal Ram,Palamu(Sc),17th,17.0,9.5,10.1993,12.3354,10.2119,8.7213,90.68,1.478
Pashupati Nath Singh,Dhanbad,17th,17.0,9.5,12.2489,12.9311,11.9969,9.6448,99.524211,2.6041
Arjun Munda,Khunti(St),17th,17.0,9.5,9.639,9.639,9.639,9.5487,100.512632,0.0903
Sanjay Seth,Ranchi,17th,17.0,12.0,14.5923,14.7752,14.7752,14.159,115.991667,0.4333
Vijay Kumar Hansdak,Rajmahal(St),17th,22.0,9.5,12.1301,11.9257,11.9257,11.7264,122.383158,0.4037
Geeta Kora,Singhbhum(St),17th,17.0,7.0,7.3104,7.2242,7.2242,6.1303,87.575714,1.1801
Bidyut Baran Mahato,Jamshedpur,17th,17.0,9.5,9.6681,8.9352,8.9352,9.1252,94.054737,0.5429
Sunil Soren,Dumka(St),17th,17.0,7.0,8.7375,9.496,9.496,8.1678,114.682857,0.5697
Jayant Sinha,Hazaribagh,17th,17.0,9.5,9.735,15.5608,9.3595,8.5933,90.344211,1.1417
Annpurna Devi,Kodarma,17th,17.0,9.5,9.6789,12.619,9.1254,7.7286,79.353684,1.9503
Sunil Kumar Singh,Chatra,17th,19.5,12.0,15.5407,30.9642,14.962,12.934,107.783333,2.6067
V. Srinivas Prasad,Chamarajanagar(Sc),17th,17.0,9.5,11.8561,11.469,11.469,11.3927,117.923158,0.4634
Umesh Jadhav,Gulbarga(Sc),17th,17.0,2.5,7.2032,6.9103,6.9103,4.0967,161.868,3.1065
Nalin Kumar Kateel,Dakshina Kannada,17th,17.0,9.5,10.5054,10.3288,10.0038,9.5153,98.161053,0.9901
P.C. Mohan,Bangalore Central,17th,17.0,7.0,7.7118,7.7981,7.7981,6.8258,95.511429,0.886
Mangal Suresh Angadi,Belgaum,17th,12.0,2.0,2.2948,9.2068,2.1018,1.6818,82.09,0.613
Shobha Karandlaje,Udupi Chikmagalur,17th,17.0,7.0,7.5448,7.0314,6.8423,6.4346,89.922857,1.1102
Prajwal Revanna,Hassan,17th,24.5,14.5,15.7961,14.7917,14.7917,14.2105,96.003448,1.5856
Pralhad Venkatesh Joshi,Dharwad,17th,17.0,7.0,7.5693,6.27,6.04,5.4204,75.805714,2.1489
Bhagwanth Khuba,Bidar,17th,17.0,9.5,14.9255,20.825,15.9421,14.2714,150.225263,0.6541
Doddaalahalli Kempegowda Suresh,Bangalore Rural,17th,17.0,7.0,8.5614,8.475,8.475,7.6563,109.375714,0.9051
Sanganna Amarappa Karadi,Koppal,17th,17.0,7.0,7.7696,6.86,6.86,6.4629,90.327143,1.3067
Parvatagouda Chandanagouda Gaddigoudar,Bagalkot,17th,17.0,9.5,11.5566,11.2872,11.2724,10.5495,109.047368,1.0071
Ramesh Chandappa Jigajinagi,Bijapur(Sc),17th,17.0,5.0,5.9998,19.9883,19.9585,3.705,74.1,2.2948
L.S. Tejasvi Surya,Bangalore South,17th,17.0,5.0,5.4537,9.9091,9.9091,5.3828,105.656,0.0709
Sumalatha Ambareesh,Mandya,17th,17.0,9.5,12.3009,11.8832,11.8832,10.7577,111.238947,1.5432
Annasaheb Shankar Jolle,Chikkodi,17th,17.0,7.0,7.4945,7.3369,6.6669,5.5644,77.491429,1.9301
Gowdar Mallikarjunappa Siddeshwara,Davanagere,17th,17.0,12.0,12.8694,16.84,11.835,11.1969,91.3075,1.6725
Bache B.N. Gowda,Chikballapur,17th,17.0,9.5,12.8671,12.6341,12.6248,12.5201,129.790526,0.347
Y Devendrappa,Bellary(St),17th,17.0,7.0,8.977,8.45,8.45,8.0898,114.25,0.8872
Raja Amareshwara Naik,Raichur(St),17th,17.0,7.0,10.7376,10.5859,10.5679,9.5696,134.708571,1.168
Anantkumar Hegde,Uttara Kannada,17th,17.0,12.0,12.4826,16.66,11.38,10.1975,82.979167,2.2851
Shivkumar Chanabasappa Udasi,Haveri,17th,17.0,7.0,9.7797,9.651,9.651,9.6031,135.187143,0.1766
B.Y. Raghavendra,Shimoga,17th,17.0,7.0,11.988,14.3471,14.3471,11.6988,165.125714,0.2892
S. Muniswamy,Kolar(Sc),17th,17.0,7.0,7.0766,6.6767,6.2022,6.0862,84.945714,0.9904
Gangasandra Siddappa Basavaraj,Tumkur,17th,17.0,7.0,11.6761,11.2899,11.2899,10.5935,149.335714,1.0826
D.V. Sadananda Gowda,Bangalore North,17th,17.0,7.0,7.9949,12.1505,12.1505,7.9802,112.002857,0.0147
Prathap Simha,Mysore,17th,17.0,12.0,14.8217,14.4632,14.4632,13.7894,112.911667,1.0323
Suresh Chanabasappa Angadi-Ex,Belgaum,17th,10.0,5.0,5.1839,6.765,4.7,4.0,78.0,1.1839
Narayana Swamy Abbaiah,Chitradurga(Sc),17th,17.0,7.0,8.8009,8.4956,8.4956,7.675,107.642857,1.1259
Kumbakudi Sudhakaran,Kannur,17th,17.0,7.0,7.5539,18.1958,9.6082,4.8575,67.392857,2.6964
K. Muraleedharan,Vadakara,17th,17.0,7.0,10.1923,38.7526,15.5238,6.6941,94.201429,3.4982
Ramya Haridas,Alathur(Sc),17th,17.0,7.0,10.2691,34.238,19.4268,8.0485,112.978571,2.2206
N.K. Premachandran,Kollam,17th,17.0,9.5,12.4382,39.1381,19.0727,10.2175,105.552632,2.2207
Abdul Majeed Ariff,Alappuzha,17th,17.0,7.0,7.2992,22.6104,10.9627,6.5627,91.752857,0.7365
Adoor Prakash,Attingal,17th,17.0,7.0,7.8276,23.4401,17.735,7.7608,108.868571,0.0668
Behanan Benny,Chalakudy,17th,17.0,7.0,10.2565,28.821,17.8863,6.9429,97.184286,3.3136
Dean Kuria Kose,Idukki,17th,17.0,7.0,9.3727,22.805,15.4669,5.6851,79.215714,3.6876
E.T Mohammed Basheer,Ponnani,17th,17.0,7.0,7.4178,26.883,14.9991,4.8596,67.422857,2.5582
Shashi Tharoor,Thiruvananthapuram,17th,17.0,7.0,8.919,23.2066,16.3051,8.8809,124.87,0.0381
Vellalath Kochukrishnan Nair Sreekandan,Palakkad,17th,17.0,7.0,9.8614,24.3907,15.8017,6.8813,96.304286,2.9801
Rajmohan Unnithan,Kasaragod,17th,19.5,7.0,7.7412,19.9966,11.6552,7.4655,104.65,0.2757
Thomas Chazhikadan,Kottayam,17th,17.0,7.0,7.3601,20.5465,12.9317,7.3427,102.895714,0.0174
Rahul Gandhi,Wayanad,17th,17.0,7.0,10.0658,20.8514,17.2175,8.782,123.457143,1.2838
Hibi Eden,Ernakulam,17th,17.0,7.0,7.3988,26.6764,16.8924,5.7663,80.375714,1.6325
M.K. Raghavan,Kozhikode,17th,17.0,7.0,8.3717,19.3091,15.4137,6.3829,89.184286,1.9888
T N Prathapan,Thrissur,17th,17.0,7.0,10.0871,29.6715,18.6211,8.0511,113.015714,2.036
Anto Antony,Pathanamthitta,17th,17.0,7.0,9.2736,34.7035,17.2925,9.2034,129.477143,0.0702
Kunhalikutty P.K,Malappuram,17th,5.0,5.0,5.9728,8.6749,5.177,5.118,100.36,0.8548
Suresh Kodikunnil,Mavelikkara(Sc),17th,17.0,7.0,12.1123,29.4574,19.843,7.3087,102.41,4.8036
Dr. M.P. Abdussamad Samadani,Malappuram,17th,12.0,2.0,2.0888,13.423,6.6031,0.6353,29.765,1.4535
Jamyang Tsering Namgyal,Ladakh,17th,17.0,7.0,7.136,5.2815,6.1308,6.2708,87.582857,0.8652
Faizal P.P Mohammed,Lakshadweep(St),17th,22.0,2.5,2.7114,4.0659,4.0659,2.0526,82.104,0.6588
Gyaneshwar Patil,Khandwa,17th,12.0,4.5,4.5208,5.5748,4.4806,3.8691,83.98,0.6517
Nakul K. Nath,Chhindwara,17th,17.0,9.5,13.9317,16.0456,14.8343,12.6483,131.14,1.2834
Uday Pratap Singh,Hoshangabad,17th,17.0,9.5,11.5893,14.4328,11.2894,10.5584,109.141053,1.0309
Ramakant Bhargava,Vidisha,17th,17.0,7.0,7.2232,7.0547,6.779,6.6058,92.368571,0.6174
Ganesh Singh,Satna,17th,17.0,9.5,9.7362,12.215,9.6556,9.7324,100.446316,0.0038
Rakesh Singh,Jabalpur,17th,17.0,2.5,4.9357,9.1066,5.663,4.0521,160.084,0.8836
Mahendra Singh Solanky,Dewas(Sc),17th,17.0,9.5,10.6025,11.887,10.587,10.4187,107.670526,0.1838
Rodmal Nagar,Rajgarh,17th,17.0,9.5,11.8655,13.6147,11.2195,10.8042,113.728421,1.0613
Nand Kumar Singh Chauhan-Ex,Khandwa,17th,10.0,5.0,5.1117,7.1184,4.3623,4.4623,87.246,0.6494
Janardan Mishra,Rewa,17th,17.0,9.5,10.3834,10.2861,10.1356,8.6052,88.581053,1.7782
Sandhya Ray,Bhind(Sc),17th,17.0,9.5,12.4944,14.4852,11.6838,9.8414,101.593684,2.653
